Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);BUREAU:Zone Operative Temperature [C](Hourly);BUREAU IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly);BUREAU:Zone Heat Index [C](Hourly) 
 01/14  09:00:00;18.866666666666667;25.84531077321449;0.0;0.0 
 01/14  10:00:00;22.416666666666668;26.35273242438571;172640.65462704387;0.0 
 01/14  11:00:00;25.75;26.76069575644784;777054.1465498075;0.0 
 01/14  12:00:00;28.28333333333333;27.172732675826992;1479987.476441888;0.0 
 01/14  13:00:00;29.900000000000002;27.59426848070547;2402977.117688161;0.0 
 01/14  14:00:00;31.099999999999998;28.003607230260304;3422115.5770832384;0.0 
 01/14  15:00:00;32.300000000000004;28.365627082054516;4371972.706620826;0.0 
 01/14  16:00:00;32.916666666666664;28.612436950789117;5034647.580666962;0.0 
 01/14  17:00:00;32.416666666666664;28.673263282286886;5198206.347242695;0.0 
 01/14  18:00:00;31.766666666666666;28.575469080619197;4910486.292337876;0.0 
 01/14  19:00:00;29.90833333333333;28.381210247833252;53503307.389196515;0.0 
 01/14  20:00:00;27.008333333333336;28.160289163711;16535586.856115464;0.0 
 01/14  21:00:00;24.108333333333334;27.145712912317965;0.0;0.0 
 01/14  22:00:00;22.666666666666668;26.138664771854845;0.0;0.0 
 01/14  23:00:00;22.208333333333332;25.676628138452376;0.0;0.0 
 01/14  24:00:00;21.3;25.014391742612954;0.0;0.0 
 01/15  01:00:00;20.683333333333334;24.483032382643913;0.0;0.0 
 01/15  02:00:00;20.483333333333334;24.18820408737029;0.0;0.0 
 01/15  03:00:00;20.283333333333335;23.90278284367427;0.0;0.0 
 01/15  04:00:00;20.083333333333332;23.62683249761524;0.0;0.0 
 01/15  05:00:00;18.833333333333332;22.827982885706806;0.0;0.0 
 01/15  06:00:00;17.533333333333335;21.92136922349103;0.0;0.0 
 01/15  07:00:00;17.083333333333332;21.44718655748521;0.0;0.0 
 01/15  08:00:00;17.0;21.214436095009603;0.0;0.0 
 01/15  09:00:00;17.233333333333334;21.283116687158113;0.0;0.0 
 01/15  10:00:00;22.53333333333333;24.07235224703057;419285.0997706584;0.0 
 01/15  11:00:00;25.5;26.180400396324334;97425.27904791058;0.0 
 01/15  12:00:00;25.933333333333337;26.756919945045265;2767891.403867785;0.0 
 01/15  13:00:00;27.708333333333332;27.30575743357531;23612567.92266526;0.0 
 01/15  14:00:00;29.55;27.7147842667641;47582149.410105094;0.0 
